Graph, Time, # true communities, # communities found by modularity, # communities found by MapEquation, Modularity NMI, MapEquation NMI, Modularity time (s), MapEquation time (s)
LFR_250_1, 09_22-36-59, 9, 9, 5, 1.0, 0.7973817511578997, 0.02, 0.02
LFR_1000_1, 09_22-36-59, 32, 36, 19, 0.997528457216547, 0.7838541877474174, 0.14, 0.08
LFR_5000_1, 09_22-37-00, 103, 85, 9, 0.9839432590453028, 0.2387530166007303, 0.68, 0.3
LFR_250_1, 09_22-44-23, 9, 9, 12, 1.0, 0.971616262325334, 0.08, 0.03
LFR_1000_1, 09_22-44-23, 32, 36, 40, 0.997528457216547, 0.9924906457753682, 0.12, 0.02
LFR_5000_1, 09_22-44-24, 103, 86, 103, 0.9849419733375597, 0.9999999999999998, 0.89, 0.13
LFR_250_1, 10_20-24-56, 9, 9, 12, 1.0, 0.971616262325334, 0.02, 0.0
LFR_250_2, 10_20-24-56, 9, 9, 12, 1.0, 0.971616262325334, 0.03, 0.0
LFR_250_3, 10_20-24-56, 11, 11, 15, 1.0, 0.9670688122349849, 0.03, 0.0
LFR_250_4, 10_20-24-56, 11, 11, 15, 1.0, 0.9670688122349849, 0.02, 0.0
LFR_250_5, 10_20-24-56, 11, 11, 15, 1.0, 0.9670688122349849, 0.02, 0.0
LFR_1000_1, 10_20-25-01, 32, 36, 40, 0.997528457216547, 0.9924906457753682, 0.1, 0.03
LFR_1000_2, 10_20-25-01, 37, 41, 42, 0.9965555367258072, 0.9954962427733781, 0.1, 0.02
LFR_1000_3, 10_20-25-01, 28, 31, 32, 0.9981405192730549, 0.9971404942906512, 0.13, 0.02
LFR_1000_4, 10_20-25-01, 35, 34, 42, 0.9908690698156296, 0.9873682645363148, 0.08, 0.02
LFR_1000_5, 10_20-25-01, 35, 34, 35, 0.9958489432364251, 0.9986883030368988, 0.12, 0.02
LFR_5000_1, 10_20-25-27, 103, 81, 103, 0.9791085682610172, 0.9999999999999998, 0.82, 0.13
LFR_5000_2, 10_20-25-29, 94, 81, 94, 0.9883337873779575, 0.9999999999999998, 0.97, 0.15
LFR_5000_3, 10_20-25-30, 85, 75, 85, 0.9895492736340815, 1.0, 0.84, 0.13
LFR_5000_4, 10_20-25-31, 78, 69, 78, 0.9901440929419416, 0.999762707260109, 0.75, 0.13
LFR_5000_5, 10_20-25-32, 81, 71, 95, 0.9902705352057443, 0.9845233258389624, 0.61, 0.13
LFR_10000_1, 10_20-27-03, 129, 98, 129, 0.9835701594227687, 0.9998709521451746, 1.54, 0.33
LFR_10000_2, 10_20-27-06, 166, 123, 167, 0.9783153103286281, 0.999638333739627, 1.59, 0.28
LFR_10000_3, 10_20-27-08, 159, 119, 159, 0.9802649054902197, 0.9997770963312579, 1.59, 0.3
LFR_10000_4, 10_20-27-10, 135, 111, 135, 0.9870435573492645, 0.999897168487975, 1.62, 0.3
LFR_10000_5, 10_20-27-12, 101, 89, 134, 0.9933163374785171, 0.9798307440399733, 1.57, 0.34
LFR_25000_1, 10_20-31-55, 240, 146, 266, 0.9749208327332951, 0.9921992424772835, 7.41, 0.95
LFR_25000_2, 10_20-32-03, 222, 145, 321, 0.9786974244202932, 0.9702143894989028, 6.93, 1.04
LFR_25000_3, 10_20-32-10, 402, 218, 404, 0.9602488575154625, 0.9998850750807454, 4.77, 0.85
LFR_25000_4, 10_20-32-17, 343, 189, 343, 0.9646324233366999, 0.9999578450841357, 6.25, 0.94
LFR_25000_5, 10_20-32-23, 343, 191, 343, 0.964960525411898, 0.9999578450841357, 4.52, 0.89
LFR_50000_1, 10_20-46-14, 632, 280, 632, 0.9563093543732206, 0.9999806271240625, 10.96, 2.21
LFR_50000_2, 10_20-46-31, 457, 234, 457, 0.9685579051340923, 0.9999620372361141, 13.76, 2.27
LFR_50000_3, 10_20-46-46, 525, 257, 577, 0.9644896845799691, 0.9934813502280553, 11.02, 2.27
LFR_50000_4, 10_20-47-09, 464, 226, 541, 0.9672088899471271, 0.9892745376206622, 18.74, 2.36
LFR_50000_5, 10_20-47-41, 453, 231, 533, 0.9674935666708051, 0.9891288566046953, 28.65, 2.36
LFR_100000_1, 10_21-23-26, 832, 320, 835, 0.9605171019590486, 0.9999487946851691, 55.27, 5.38
LFR_100000_2, 10_21-24-07, 1066, 384, 1066, 0.9513022841438301, 0.9999901181911084, 32.61, 4.93
LFR_100000_3, 10_21-24-59, 1055, 390, 1056, 0.9527385859350519, 0.9999496769665648, 45.08, 4.79
LFR_100000_4, 10_21-25-41, 1079, 398, 1079, 0.9518719985483185, 0.9999746395107302, 34.02, 4.79
LFR_100000_5, 10_21-27-06, 756, 307, 848, 0.9628939659479561, 0.9927024244539159, 77.06, 5.71
LFR_250000_1, 11_00-04-03, 1886, 721, 2999, 0.9442601139751777, 0.9754364197005233, 318.17, 14.68
LFR_250000_2, 11_00-08-16, 2823, 994, 3089, 0.9262319820136394, 0.9977354245111031, 236.17, 11.02
LFR_250000_3, 11_00-11-33, 2699, 955, 2993, 0.9305629795061523, 0.9967668982413757, 179.92, 11.05
LFR_250000_4, 11_00-16-18, 2262, 826, 2705, 0.9368317519071657, 0.9932302162588713, 267.6, 11.42
LFR_250000_5, 11_00-25-20, 1380, 617, 4137, 0.9571332605000243, 0.9250319051049869, 521.35, 15.4
LFR_500000_1, 11_04-03-01, 4399, 1345, 5080, 0.9294736819708957, 0.9945846819700718, 543.2, 27.75
LFR_1000000_1, 11_08-42-25, 7039, 1942, 9476, 0.9310207619869607, 0.9873351776329471, 1911.91, 70.37
