Graph, Time, # true communities, # communities found by modularity, # communities found by MapEquation, Modularity NMI, MapEquation NMI, Modularity time (s), MapEquation time (s)
LFR_250_1, 09_22-36-55, 6, 14, 29, 0.13755432572408935, 0.2080277485235469, 0.06, 0.02
LFR_1000_1, 09_22-36-56, 27, 17, 102, 0.3148265104104291, 0.5149599829328637, 0.27, 0.05
LFR_5000_1, 09_22-36-58, 83, 24, 276, 0.49343150820091963, 0.6685915177697802, 2.28, 0.33
LFR_250_1, 09_22-44-20, 6, 11, 29, 0.185021191740701, 0.2080277485235469, 0.04, 0.01
LFR_1000_1, 09_22-44-21, 27, 19, 102, 0.3133346251426435, 0.5149599829328637, 0.5, 0.03
LFR_5000_1, 09_22-44-23, 83, 25, 276, 0.47911606010979146, 0.6685915177697802, 1.83, 0.22
LFR_250_1, 10_20-24-56, 6, 13, 29, 0.19064722697787037, 0.2080277485235469, 0.03, 0.01
LFR_250_2, 10_20-24-56, 9, 11, 32, 0.28704477339509604, 0.37456382099524643, 0.05, 0.01
LFR_250_3, 10_20-24-56, 7, 13, 29, 0.174998825937173, 0.25437344381480226, 0.03, 0.01
LFR_250_4, 10_20-24-56, 8, 14, 33, 0.18692157751677405, 0.27140880322823485, 0.03, 0.01
LFR_250_5, 10_20-24-56, 10, 11, 27, 0.25276163358140247, 0.3710442725396298, 0.03, 0.01
LFR_1000_1, 10_20-24-59, 27, 17, 102, 0.32506446098493186, 0.5149599829328637, 0.46, 0.03
LFR_1000_2, 10_20-25-00, 30, 20, 107, 0.3060721874917922, 0.5071782781769859, 0.2, 0.02
LFR_1000_3, 10_20-25-00, 28, 18, 102, 0.3070696547441055, 0.49240844551380164, 0.22, 0.03
LFR_1000_4, 10_20-25-00, 15, 18, 118, 0.1672957623654618, 0.32699168172534426, 0.29, 0.02
LFR_1000_5, 10_20-25-00, 35, 21, 109, 0.32717911299940644, 0.5377519297584498, 0.17, 0.03
LFR_5000_1, 10_20-25-17, 83, 24, 276, 0.46288063193410695, 0.6685915177697802, 1.76, 0.21
LFR_5000_2, 10_20-25-19, 67, 24, 286, 0.45493479213156035, 0.6035476215569565, 1.69, 0.21
LFR_5000_3, 10_20-25-22, 85, 30, 276, 0.5018703825440934, 0.6750058841673401, 2.04, 0.21
LFR_5000_4, 10_20-25-24, 85, 27, 277, 0.46912101427751796, 0.6683512627695688, 1.64, 0.21
LFR_5000_5, 10_20-25-26, 39, 16, 319, 0.3277126008305836, 0.4075551086709677, 1.97, 0.24
LFR_10000_1, 10_20-26-35, 129, 32, 499, 0.46513183123391216, 0.6573132863324914, 4.51, 0.47
LFR_10000_2, 10_20-26-40, 87, 24, 554, 0.37548150901683625, 0.5306151188963136, 4.26, 0.5
LFR_10000_3, 10_20-26-46, 122, 32, 501, 0.45892121729020485, 0.6374847220395489, 4.26, 0.5
LFR_10000_4, 10_20-26-52, 135, 32, 531, 0.39588206355166544, 0.645154412627371, 6.25, 0.49
LFR_10000_5, 10_20-27-01, 98, 30, 556, 0.3973576775465976, 0.5398889149316574, 7.92, 0.51
LFR_25000_1, 10_20-30-19, 316, 55, 1070, 0.5045848801114867, 0.7149345035523398, 17.22, 1.57
LFR_25000_2, 10_20-30-38, 238, 41, 1235, 0.43095561198450805, 0.629412230832431, 16.35, 1.81
LFR_25000_3, 10_20-31-02, 402, 65, 1055, 0.5240486352278771, 0.7579318566778243, 21.75, 1.56
LFR_25000_4, 10_20-31-25, 304, 52, 1092, 0.47215361690816204, 0.7063930274304927, 20.71, 1.6
LFR_25000_5, 10_20-31-46, 271, 42, 1177, 0.42506155924441263, 0.6673951022694974, 18.55, 1.65
LFR_50000_1, 10_20-42-16, 632, 79, 1958, 0.519433001438624, 0.7515509905612829, 59.13, 3.59
LFR_50000_2, 10_20-43-12, 457, 69, 2138, 0.4804874099354453, 0.6960923331048969, 51.53, 3.73
LFR_50000_3, 10_20-44-13, 533, 72, 2155, 0.47397477754961437, 0.7119981086215585, 55.51, 3.51
LFR_50000_4, 10_20-45-11, 344, 50, 2657, 0.36509734403483507, 0.5896164835815901, 53.56, 3.87
LFR_50000_5, 10_20-45-59, 350, 46, 2717, 0.3760232398917118, 0.5761448899988636, 43.0, 3.82
LFR_100000_1, 10_21-12-07, 910, 100, 3996, 0.49754543673635027, 0.7197299530064419, 155.0, 8.46
LFR_100000_2, 10_21-14-35, 1066, 106, 3689, 0.531947665981131, 0.7604532548643115, 136.67, 8.19
LFR_100000_3, 10_21-17-41, 1055, 110, 3875, 0.5078335394305746, 0.7472877326751287, 174.49, 7.98
LFR_100000_4, 10_21-20-24, 1079, 116, 3551, 0.5584151342961653, 0.769613368203637, 152.49, 8.25
