Graph, Time, # true communities, # communities found by modularity, # communities found by MapEquation, Modularity NMI, MapEquation NMI, Modularity time (s), MapEquation time (s)
LFR_250_1, 09_22-36-53, 4, 5, 18, 0.8110548722993458, 0.6841536120504406, 0.03, 0.02
LFR_1000_1, 09_22-36-53, 23, 23, 47, 0.9460692414170617, 0.9056464796255737, 0.13, 0.05
LFR_5000_1, 09_22-36-55, 78, 48, 3, 0.9150156397530316, 0.055100878735875596, 1.2, 0.64
LFR_250_1, 09_22-44-19, 4, 5, 18, 0.8815815044690801, 0.6841536120504406, 0.03, 0.01
LFR_1000_1, 09_22-44-19, 23, 22, 47, 0.9217333582900414, 0.9056464796255737, 0.11, 0.03
LFR_5000_1, 09_22-44-20, 78, 52, 110, 0.9264478578426562, 0.9618875248882792, 0.98, 0.2
LFR_250_1, 10_20-24-55, 4, 6, 18, 0.8009619927944379, 0.6841536120504406, 0.03, 0.0
LFR_250_2, 10_20-24-55, 10, 10, 14, 0.9849737411451432, 0.9370431500682592, 0.07, 0.01
LFR_250_3, 10_20-24-56, 5, 5, 18, 0.9448094102589885, 0.7049676950133877, 0.03, 0.01
LFR_250_4, 10_20-24-56, 6, 7, 18, 0.8667139029191984, 0.7432306206352549, 0.05, 0.01
LFR_250_5, 10_20-24-56, 11, 11, 17, 0.9436675765879576, 0.9098921411887605, 0.02, 0.01
LFR_1000_1, 10_20-24-58, 23, 23, 47, 0.9508965966618784, 0.9056464796255737, 0.11, 0.03
LFR_1000_2, 10_20-24-58, 28, 27, 41, 0.944591526140784, 0.9562287783279823, 0.15, 0.03
LFR_1000_3, 10_20-24-58, 28, 24, 32, 0.9472563313801285, 0.9656889645727394, 0.16, 0.02
LFR_1000_4, 10_20-24-59, 26, 26, 32, 0.9477533970625583, 0.9657996439133225, 0.14, 0.02
LFR_1000_5, 10_20-24-59, 33, 29, 37, 0.9568228210268834, 0.9774303676956742, 0.12, 0.02
LFR_5000_1, 10_20-25-08, 78, 51, 110, 0.92300106825333, 0.9618875248882792, 1.61, 0.21
LFR_5000_2, 10_20-25-10, 44, 37, 122, 0.9090320348672114, 0.9007939598215948, 1.65, 0.18
LFR_5000_3, 10_20-25-12, 69, 49, 134, 0.9065913361520614, 0.9331637601662404, 1.48, 0.24
