CMDLINE C:\Users\Aeder\AppData\Local\Programs\Python\Python310\python.exe Run_test.py
MEM 1.480469 1654976853.3199
MEM 8.996094 1654976853.4399
MEM 16.445312 1654976853.5509
MEM 25.460938 1654976853.6609
MEM 35.742188 1654976853.7719
MEM 41.226562 1654976853.8829
MEM 46.035156 1654976853.9939
MEM 49.117188 1654976854.1039
MEM 51.210938 1654976854.2149
MEM 52.078125 1654976854.3249
MEM 55.691406 1654976854.4359
MEM 60.621094 1654976854.5469
MEM 68.792969 1654976854.6579
MEM 76.640625 1654976854.7679
MEM 82.324219 1654976854.8789
MEM 89.925781 1654976854.9899
MEM 98.648438 1654976855.0999
MEM 104.117188 1654976855.2109
MEM 109.617188 1654976855.3209
MEM 115.714844 1654976855.4319
MEM 118.937500 1654976855.5419
MEM 119.453125 1654976855.6519
MEM 119.468750 1654976855.7629
MEM 119.671875 1654976855.8749
MEM 119.679688 1654976855.9909
MEM 119.683594 1654976856.0999
MEM 121.808594 1654976856.2079
MEM 122.554688 1654976856.3189
MEM 123.562500 1654976856.4289
MEM 124.316406 1654976856.5399
MEM 125.480469 1654976856.6519
MEM 126.191406 1654976856.7719
MEM 126.464844 1654976856.8809
MEM 127.171875 1654976856.9909
MEM 128.105469 1654976857.0939
MEM 128.710938 1654976857.2049
MEM 129.281250 1654976857.3159
MEM 130.078125 1654976857.4269
MEM 130.613281 1654976857.5379
MEM 131.312500 1654976857.6479
MEM 132.238281 1654976857.7589
MEM 133.042969 1654976857.8709
MEM 138.125000 1654976857.9819
MEM 144.371094 1654976858.0919
MEM 140.261719 1654976858.2025
MEM 148.347656 1654976858.3115
MEM 148.406250 1654976858.4226
MEM 135.425781 1654976858.5325
MEM 143.753906 1654976858.6435
MEM 143.781250 1654976858.7556
MEM 139.691406 1654976858.8775
MEM 144.265625 1654976858.9905
MEM 144.289062 1654976859.1005
MEM 141.511719 1654976859.2086
MEM 144.718750 1654976859.3175
MEM 139.179688 1654976859.4275
MEM 144.562500 1654976859.5385
MEM 144.593750 1654976859.6505
MEM 143.187500 1654976859.7596
MEM 146.890625 1654976859.8695
MEM 143.242188 1654976859.9765
MEM 150.093750 1654976860.0886
MEM 150.105469 1654976860.1985
MEM 147.320312 1654976860.3095
MEM 154.003906 1654976860.4186
MEM 154.023438 1654976860.5296
MEM 149.281250 1654976860.6385
MEM 145.566406 1654976860.7495
MEM 145.890625 1654976860.8596
MEM 140.640625 1654976860.9695
MEM 148.714844 1654976861.0786
MEM 149.109375 1654976861.1905
MEM 141.730469 1654976861.3006
MEM 149.542969 1654976861.4106
MEM 149.582031 1654976861.5225
MEM 144.261719 1654976861.6336
MEM 150.933594 1654976861.7456
MEM 143.695312 1654976861.8565
MEM 152.683594 1654976861.9655
MEM 155.175781 1654976862.0756
MEM 148.941406 1654976862.1865
MEM 158.066406 1654976862.2965
MEM 160.937500 1654976862.4076
MEM 153.644531 1654976862.5186
MEM 152.824219 1654976862.6282
MEM 159.503906 1654976862.7392
MEM 154.992188 1654976862.8502
MEM 159.664062 1654976862.9612
MEM 154.484375 1654976863.0722
MEM 160.406250 1654976863.1822
MEM 155.679688 1654976863.2932
MEM 160.984375 1654976863.4048
MEM 155.859375 1654976863.5148
MEM 162.027344 1654976863.6248
MEM 158.457031 1654976863.7368
MEM 160.324219 1654976863.8438
MEM 160.097656 1654976863.9523
MEM 160.148438 1654976864.0633
MEM 155.625000 1654976864.1744
MEM 142.699219 1654976864.2824
MEM 143.699219 1654976864.4194
MEM 142.601562 1654976864.5424
MEM 142.621094 1654976864.6574
MEM 142.726562 1654976864.7675
MEM 143.230469 1654976864.8788
MEM 143.031250 1654976864.9898
MEM 140.511719 1654976865.0988
MEM 143.597656 1654976865.2108
MEM 143.605469 1654976865.3258
MEM 143.722656 1654976865.4328
MEM 143.734375 1654976865.5448
MEM 145.792969 1654976865.6558
MEM 146.363281 1654976865.7648
MEM 136.429688 1654976865.8738
MEM 139.824219 1654976865.9838
MEM 137.390625 1654976866.0948
MEM 141.496094 1654976866.2038
MEM 138.382812 1654976866.3118
MEM 142.531250 1654976866.4208
MEM 138.812500 1654976866.5298
MEM 142.292969 1654976866.6388
MEM 143.769531 1654976866.7478
MEM 144.113281 1654976866.8588
MEM 144.148438 1654976866.9698
MEM 146.191406 1654976867.0818
MEM 147.390625 1654976867.1928
MEM 147.011719 1654976867.3038
MEM 143.671875 1654976867.4158
MEM 155.140625 1654976867.5268
MEM 155.207031 1654976867.6358
MEM 153.828125 1654976867.7458
MEM 143.417969 1654976867.8568
MEM 152.453125 1654976867.9678
MEM 157.867188 1654976868.0768
MEM 157.937500 1654976868.1868
MEM 157.937500 1654976868.2958
MEM 143.250000 1654976868.4068
MEM 151.011719 1654976868.5138
MEM 162.171875 1654976868.6248
MEM 162.273438 1654976868.7322
MEM 162.273438 1654976868.8432
MEM 162.386719 1654976868.9522
MEM 155.515625 1654976869.0642
MEM 166.203125 1654976869.1722
MEM 167.855469 1654976869.2812
MEM 167.898438 1654976869.3902
MEM 167.898438 1654976869.5022
MEM 156.023438 1654976869.6142
MEM 149.582031 1654976869.7252
MEM 160.855469 1654976869.8362
MEM 160.949219 1654976869.9482
MEM 161.136719 1654976870.0602
MEM 149.992188 1654976870.1712
MEM 160.750000 1654976870.2802
MEM 161.628906 1654976870.3922
MEM 161.628906 1654976870.5012
MEM 149.035156 1654976870.6112
MEM 155.406250 1654976870.7232
MEM 164.074219 1654976870.8342
MEM 164.136719 1654976870.9462
MEM 164.144531 1654976871.0572
MEM 164.144531 1654976871.1672
MEM 160.535156 1654976871.2792
MEM 150.628906 1654976871.3902
MEM 148.750000 1654976871.5012
MEM 160.515625 1654976871.6112
MEM 160.625000 1654976871.7222
MEM 160.632812 1654976871.8332
MEM 160.792969 1654976871.9452
MEM 149.136719 1654976872.0572
MEM 160.601562 1654976872.1662
MEM 161.714844 1654976872.2782
MEM 161.718750 1654976872.3892
MEM 161.718750 1654976872.5002
MEM 148.816406 1654976872.6109
MEM 154.269531 1654976872.7209
MEM 162.363281 1654976872.8309
MEM 162.390625 1654976872.9429
MEM 162.390625 1654976873.0550
MEM 162.441406 1654976873.1640
MEM 153.500000 1654976873.2755
MEM 149.792969 1654976873.3875
MEM 158.402344 1654976873.4975
MEM 168.105469 1654976873.6085
MEM 169.660156 1654976873.7185
MEM 169.089844 1654976873.8255
MEM 150.078125 1654976873.9355
MEM 151.773438 1654976874.0464
MEM 161.765625 1654976874.1574
MEM 170.125000 1654976874.2685
MEM 171.535156 1654976874.3794
MEM 171.605469 1654976874.4904
MEM 171.726562 1654976874.5995
MEM 158.097656 1654976874.7104
MEM 166.003906 1654976874.8225
MEM 175.253906 1654976874.9345
MEM 176.777344 1654976875.0445
MEM 176.867188 1654976875.1555
MEM 178.558594 1654976875.2654
MEM 166.074219 1654976875.3745
MEM 174.925781 1654976875.4835
MEM 183.652344 1654976875.5935
MEM 185.335938 1654976875.7035
MEM 185.359375 1654976875.8134
MEM 187.714844 1654976875.9245
MEM 159.777344 1654976876.0335
MEM 161.242188 1654976876.1446
MEM 171.308594 1654976876.2556
MEM 177.957031 1654976876.3646
MEM 178.835938 1654976876.4756
MEM 178.925781 1654976876.5866
MEM 169.929688 1654976876.6975
MEM 162.554688 1654976876.8085
MEM 170.781250 1654976876.9205
MEM 177.152344 1654976877.0316
MEM 177.281250 1654976877.1415
MEM 163.078125 1654976877.2495
MEM 169.238281 1654976877.3585
MEM 177.636719 1654976877.4705
MEM 177.792969 1654976877.5815
MEM 163.847656 1654976877.6925
MEM 156.695312 1654976877.8026
MEM 162.218750 1654976877.9116
MEM 170.609375 1654976878.0206
MEM 170.644531 1654976878.1325
MEM 157.800781 1654976878.2395
MEM 158.472656 1654976878.3495
MEM 167.078125 1654976878.4605
MEM 172.468750 1654976878.5705
MEM 172.609375 1654976878.6805
MEM 161.550781 1654976878.7925
MEM 165.039062 1654976878.9025
MEM 174.117188 1654976879.0135
MEM 174.625000 1654976879.1255
MEM 174.777344 1654976879.2435
MEM 166.269531 1654976879.3465
MEM 171.222656 1654976879.4605
MEM 171.218750 1654976879.5645
MEM 171.394531 1654976879.6765
MEM 171.542969 1654976879.7845
MEM 168.015625 1654976879.8945
MEM 152.058594 1654976880.0045
MEM 157.613281 1654976880.1155
MEM 157.628906 1654976880.2315
MEM 158.300781 1654976880.3365
MEM 154.070312 1654976880.4475
MEM 158.011719 1654976880.5585
MEM 158.023438 1654976880.6685
MEM 158.695312 1654976880.7835
MEM 152.890625 1654976880.8895
MEM 158.273438 1654976881.0005
MEM 158.300781 1654976881.1105
MEM 159.371094 1654976881.2195
MEM 147.292969 1654976881.3305
MEM 152.222656 1654976881.4415
MEM 152.281250 1654976881.5525
MEM 152.308594 1654976881.6645
MEM 145.941406 1654976881.7754
MEM 152.367188 1654976881.8844
MEM 152.808594 1654976881.9955
MEM 152.832031 1654976882.1065
MEM 147.152344 1654976882.2165
MEM 152.949219 1654976882.3265
MEM 153.035156 1654976882.4366
MEM 153.035156 1654976882.5476
MEM 147.425781 1654976882.6575
MEM 149.492188 1654976882.7685
MEM 154.507812 1654976882.8786
MEM 154.539062 1654976882.9896
MEM 154.578125 1654976883.1006
MEM 148.925781 1654976883.2095
MEM 154.773438 1654976883.3216
MEM 154.777344 1654976883.4315
MEM 154.773438 1654976883.5425
MEM 150.371094 1654976883.6525
MEM 154.789062 1654976883.7625
MEM 155.238281 1654976883.8735
MEM 155.250000 1654976883.9845
MEM 152.964844 1654976884.0925
MEM 160.382812 1654976884.2036
MEM 162.058594 1654976884.3156
MEM 162.062500 1654976884.4256
MEM 164.355469 1654976884.5367
MEM 148.996094 1654976884.6477
MEM 155.800781 1654976884.7557
MEM 156.933594 1654976884.8657
MEM 156.968750 1654976884.9767
MEM 158.300781 1654976885.0877
MEM 150.406250 1654976885.1977
MEM 157.339844 1654976885.3077
MEM 157.347656 1654976885.4177
MEM 157.375000 1654976885.5287
MEM 151.605469 1654976885.6397
MEM 156.996094 1654976885.7497
MEM 159.078125 1654976885.8576
