CMDLINE C:\Users\Aeder\AppData\Local\Programs\Python\Python310\python.exe Run_test.py
MEM 1.476562 1654977166.2343
MEM 8.925781 1654977166.3583
MEM 17.464844 1654977166.4663
MEM 26.609375 1654977166.5783
MEM 37.039062 1654977166.6903
MEM 41.171875 1654977166.8013
MEM 46.222656 1654977166.9133
MEM 49.324219 1654977167.0253
MEM 51.167969 1654977167.1353
MEM 52.230469 1654977167.2462
MEM 55.656250 1654977167.3562
MEM 58.183594 1654977167.4652
MEM 66.503906 1654977167.5762
MEM 70.984375 1654977167.6852
MEM 77.613281 1654977167.7962
MEM 84.726562 1654977167.9052
MEM 91.828125 1654977168.0162
MEM 99.843750 1654977168.1282
MEM 105.816406 1654977168.2402
MEM 110.843750 1654977168.3502
MEM 117.312500 1654977168.4622
MEM 118.250000 1654977168.5712
MEM 118.644531 1654977168.6832
MEM 118.851562 1654977168.7932
MEM 118.867188 1654977168.9012
MEM 118.882812 1654977169.0332
MEM 118.949219 1654977169.1402
MEM 119.339844 1654977169.2512
MEM 119.339844 1654977169.3612
MEM 119.636719 1654977169.4712
MEM 119.933594 1654977169.5822
MEM 119.964844 1654977169.6932
MEM 120.632812 1654977169.8052
MEM 121.074219 1654977169.9162
MEM 121.562500 1654977170.0272
MEM 122.699219 1654977170.1382
MEM 123.906250 1654977170.2502
MEM 124.335938 1654977170.3592
MEM 125.457031 1654977170.4662
MEM 126.972656 1654977170.5782
MEM 127.539062 1654977170.6872
MEM 128.625000 1654977170.7982
MEM 129.144531 1654977170.9092
MEM 129.984375 1654977171.0202
MEM 131.539062 1654977171.1312
MEM 132.718750 1654977171.2422
MEM 133.312500 1654977171.3532
MEM 134.335938 1654977171.4642
MEM 134.906250 1654977171.5762
MEM 135.539062 1654977171.6862
MEM 136.183594 1654977171.7972
MEM 137.574219 1654977171.9052
MEM 137.574219 1654977172.0162
MEM 137.574219 1654977172.1272
MEM 138.472656 1654977172.2382
MEM 138.839844 1654977172.3502
MEM 140.445312 1654977172.4612
MEM 137.515625 1654977172.5707
MEM 137.593750 1654977172.6812
MEM 138.054688 1654977172.7932
MEM 138.199219 1654977172.9051
MEM 138.203125 1654977173.0132
MEM 138.214844 1654977173.1242
MEM 138.214844 1654977173.2372
MEM 138.218750 1654977173.3512
MEM 138.218750 1654977173.4572
MEM 138.425781 1654977173.5672
MEM 138.562500 1654977173.6792
MEM 138.632812 1654977173.7902
MEM 138.843750 1654977173.9002
MEM 138.898438 1654977174.0122
MEM 138.898438 1654977174.1232
MEM 138.933594 1654977174.2412
MEM 138.933594 1654977174.3462
MEM 138.933594 1654977174.4582
MEM 138.933594 1654977174.5692
MEM 139.089844 1654977174.6802
MEM 139.089844 1654977174.7912
MEM 139.089844 1654977174.9022
MEM 139.089844 1654977175.0132
MEM 139.156250 1654977175.1252
MEM 139.375000 1654977175.2402
MEM 139.375000 1654977175.3462
MEM 139.375000 1654977175.4572
MEM 139.441406 1654977175.5682
MEM 139.441406 1654977175.6802
MEM 139.441406 1654977175.7902
MEM 139.445312 1654977175.9002
MEM 136.847656 1654977176.0122
MEM 137.863281 1654977176.1222
MEM 137.863281 1654977176.2342
MEM 137.863281 1654977176.3442
MEM 137.863281 1654977176.4552
MEM 137.863281 1654977176.5652
MEM 137.863281 1654977176.6762
MEM 138.207031 1654977176.7862
MEM 138.207031 1654977176.8982
MEM 139.007812 1654977177.0092
MEM 139.503906 1654977177.1212
MEM 139.503906 1654977177.2322
MEM 139.503906 1654977177.3422
MEM 139.503906 1654977177.4522
MEM 139.503906 1654977177.5632
MEM 139.503906 1654977177.6712
MEM 139.625000 1654977177.7802
MEM 139.625000 1654977177.8902
MEM 141.421875 1654977177.9992
MEM 145.152344 1654977178.1082
MEM 145.152344 1654977178.2192
MEM 145.152344 1654977178.3292
MEM 145.152344 1654977178.4402
MEM 145.152344 1654977178.5502
MEM 145.601562 1654977178.6612
