Graph, Time, # true communities, # communities found by modularity, # communities found by MapEquation, Modularity NMI, MapEquation NMI, Modularity time (s), MapEquation time (s)
LFR_250, 09_16-42-59, 12, 15, 19, 0.966995654085298, 0.9596660362450726, 0.02, 0.05
LFR_1000, 09_16-43-00, 31, 31, 38, 0.9687741456250305, 0.9638875142495591, 0.15, 0.07
LFR_5000, 09_16-43-01, 71, 51, 5, 0.9214594585511313, 0.11548343773074764, 1.33, 0.34
LFR_10000, 09_16-43-07, 131, 69, 11, 0.8959468234342245, 0.13275951322919466, 4.13, 0.79
LFR_50000, 09_16-43-42, 622, 194, 754, 0.8804536983715692, 0.9794946220037378, 31.4, 2.88
LFR_250_1, 09_17-49-53, 12, 15, 20, 0.9775269161538624, 0.9562440927920574, 0.02, 0.01
LFR_250_2, 09_17-49-53, 12, 15, 20, 0.9775269161538623, 0.9562440927920574, 0.03, 0.01
LFR_250_1, 09_17-50-06, 12, 15, 20, 0.9563448777082649, 0.9562440927920574, 0.02, 0.01
LFR_250_2, 09_17-50-06, 12, 15, 20, 0.9540558416731849, 0.9562440927920574, 0.02, 0.01
LFR_250_1, 09_17-50-47, 12, 15, 20, 0.964630004018877, 0.9562440927920574, 0.02, 0.01
LFR_250_2, 09_17-50-47, 12, 15, 20, 0.9775269161538624, 0.9562440927920574, 0.02, 0.01
