Graph, Time, # true communities, # communities found by modularity, # communities found by MapEquation, Modularity NMI, MapEquation NMI, Modularity time (s), MapEquation time (s)
LFR_250_1, 22_11-16-33, 9, 10, 13, 0.9960521016992414, 0.9604414610132246, 0.02, 0.01
LFR_250_2, 22_11-16-33, 8, 8, 14, 1.0, 0.9242764092515833, 0.03, 0.01
LFR_1000_1, 22_11-16-37, 17, 19, 31, 0.9964118691846144, 0.9450790769576882, 0.21, 0.02
LFR_1000_2, 22_11-16-37, 25, 29, 35, 0.9956006816582865, 0.9835326580091727, 0.11, 0.02
LFR_5000_1, 22_11-16-51, 76, 72, 76, 0.9956677935497413, 1.0, 0.79, 0.16
LFR_5000_2, 22_11-16-53, 75, 66, 76, 0.989325881889368, 0.9996000829356232, 1.06, 0.18
LFR_10000_1, 22_11-17-46, 134, 107, 134, 0.9849328396713832, 1.0, 1.9, 0.32
LFR_10000_2, 22_11-17-49, 171, 133, 171, 0.9813731279134309, 0.9998975874262986, 1.82, 0.41
LFR_25000_1, 22_11-20-04, 276, 167, 276, 0.9713402415183404, 1.0, 6.7, 1.12
LFR_25000_2, 22_11-20-14, 302, 175, 303, 0.9679715274707786, 0.9999681985943835, 8.0, 1.08
LFR_50000_1, 22_11-26-21, 546, 266, 546, 0.9619352203054742, 0.9999400081099208, 16.56, 2.89
LFR_50000_2, 22_11-26-46, 580, 280, 580, 0.9602280066846047, 0.99994180369473, 20.0, 3.19
LFR_100000_1, 22_11-44-29, 1093, 406, 1095, 0.949016013891258, 0.9999460714153067, 51.99, 8.56
LFR_100000_2, 22_11-45-32, 1015, 378, 1017, 0.95202252776527, 0.9999511026672273, 50.23, 7.83
LFR_250000_1, 22_13-14-47, 1999, 741, 2892, 0.9397963796320303, 0.9812038559159894, 290.55, 14.36
LFR_250000_2, 22_13-19-06, 2446, 822, 2986, 0.9307490136869131, 0.9908936589434874, 235.4, 16.42
LFR_250_1, 22_16-05-08, 9, 10, 13, 0.9960521016992414, 0.9604414610132246, 0.02, 0.01
LFR_250_2, 22_16-05-08, 8, 8, 14, 1.0, 0.9242764092515833, 0.02, 0.01
LFR_250_3, 22_16-05-08, 6, 6, 9, 1.0, 0.9444259294730573, 0.02, 0.0
LFR_250_4, 22_16-05-08, 9, 9, 12, 1.0, 0.9709830184818937, 0.02, 0.01
LFR_1000_1, 22_16-05-12, 17, 19, 31, 0.9964118691846144, 0.9450790769576882, 0.1, 0.02
LFR_1000_2, 22_16-05-12, 25, 29, 35, 0.9956006816582866, 0.9835326580091727, 0.12, 0.02
LFR_1000_3, 22_16-05-12, 30, 31, 33, 0.9980449795993391, 0.996127639822946, 0.1, 0.02
LFR_1000_4, 22_16-05-13, 33, 34, 34, 0.9993663799747938, 0.9993663799747937, 0.15, 0.02
LFR_500000_1, 22_19-22-03, 4116, 1218, 6216, 0.9278189135344764, 0.978243647791497, 788.23, 23.06
LFR_500000_2, 22_19-41-36, 3570, 1071, 7677, 0.9341958197117564, 0.9503297950375215, 1130.03, 28.09
LFR_500000_3, 22_19-55-51, 3961, 1120, 5684, 0.9278794588842696, 0.982157315734834, 815.31, 23.36
LFR_500000_5, 22_20-03-53, 5269, 1435, 5733, 0.9169074485964042, 0.9973997709311639, 441.34, 25.64
LFR_1000000_1, 23_14-09-37, 8264, 2004, 10002, 0.9205829742207217, 0.9920441898684665, 2386.6, 69.01
LFR_1000000_2, 23_15-16-14, 6505, 1675, 13575, 0.9287483359856471, 0.957711788559618, 3861.74, 91.17
LFR_1000000_3, 23_15-56-05, 9527, 2379, 10277, 0.9147617478884364, 0.9982778749511181, 2263.21, 81.5
LFR_1000000_4, 23_16-39-58, 8376, 2012, 10115, 0.9188777227805105, 0.9923370384494852, 2506.5, 81.63
