Graph, Time, # true communities, # communities found by modularity, # communities found by MapEquation, Modularity NMI, MapEquation NMI, Modularity time (s), MapEquation time (s)
LFR_250_1, 22_11-16-33, 8, 10, 19, 0.2799251981293586, 0.2800281840823375, 0.04, 0.01
LFR_250_2, 22_11-16-33, 7, 8, 20, 0.33865810058723506, 0.395454731386847, 0.05, 0.01
LFR_1000_1, 22_11-16-36, 24, 15, 74, 0.4427046666145638, 0.5637224910331754, 0.27, 0.04
LFR_1000_2, 22_11-16-37, 18, 11, 74, 0.3183522681685269, 0.47776783677207557, 0.49, 0.04
LFR_5000_1, 22_11-16-48, 56, 24, 198, 0.5199153172643359, 0.6601093538900248, 1.94, 0.33
LFR_5000_2, 22_11-16-50, 74, 31, 139, 0.6988288285142762, 0.7938377386539086, 1.45, 0.27
LFR_10000_1, 22_11-17-39, 113, 39, 329, 0.6161060676311585, 0.7447096361208222, 4.58, 0.68
LFR_10000_2, 22_11-17-43, 120, 38, 315, 0.601043861304086, 0.7650760412023377, 3.49, 0.86
LFR_25000_1, 22_11-19-41, 229, 51, 760, 0.615748198822994, 0.7553987347588529, 15.19, 2.47
LFR_25000_2, 22_11-19-55, 251, 62, 605, 0.6846654411712846, 0.8209049544568462, 10.51, 2.2
LFR_50000_1, 22_11-25-18, 545, 82, 1186, 0.6488569301276992, 0.8442299575905792, 36.48, 5.31
LFR_50000_2, 22_11-26-00, 425, 77, 1241, 0.6938537712018662, 0.8140252603887677, 33.48, 5.89
LFR_100000_1, 22_11-41-19, 702, 79, 3542, 0.5709120661644744, 0.6919912356362775, 84.95, 17.1
LFR_100000_2, 22_11-43-23, 688, 78, 3357, 0.5892060712601357, 0.7001864786776518, 101.12, 18.3
LFR_250000_1, 22_13-01-01, 2248, 173, 4817, 0.6634251920802757, 0.8699320422892639, 214.37, 29.75
LFR_250000_2, 22_13-05-25, 1997, 140, 5097, 0.6233448603535566, 0.8521599994693633, 221.62, 32.07
LFR_250000_3, 22_13-09-34, 1374, 102, 8491, 0.5497667294860221, 0.6879914271964006, 203.83, 35.2
LFR_250_1, 22_16-05-08, 8, 11, 19, 0.3175845692517121, 0.2800281840823375, 0.03, 0.01
LFR_250_2, 22_16-05-08, 7, 9, 20, 0.29612198001171985, 0.395454731386847, 0.06, 0.01
LFR_250_3, 22_16-05-08, 7, 8, 16, 0.3468716079270252, 0.3398867452271164, 0.04, 0.01
LFR_250_4, 22_16-05-08, 8, 9, 20, 0.31611390359741115, 0.38381190644588303, 0.04, 0.01
LFR_1000_1, 22_16-05-11, 24, 16, 74, 0.4469491275210323, 0.5637224910331754, 0.2, 0.03
LFR_1000_2, 22_16-05-11, 18, 14, 74, 0.3256577163003982, 0.47776783677207557, 0.25, 0.03
LFR_1000_3, 22_16-05-12, 19, 13, 72, 0.43864902760303726, 0.5228509539342328, 0.2, 0.03
LFR_1000_4, 22_16-05-12, 24, 16, 63, 0.5151163053521378, 0.6206052765917675, 0.21, 0.03
LFR_500000_1, 22_18-32-42, 3863, 183, 10220, 0.5954457781729464, 0.8488204479724629, 393.25, 70.06
LFR_500000_2, 22_18-46-33, 3098, 148, 12529, 0.5534077632301826, 0.7914681786061531, 733.75, 75.82
LFR_500000_3, 22_18-57-50, 3707, 199, 9587, 0.6251704634045059, 0.858366001005118, 586.57, 69.26
LFR_500000_4, 22_19-08-13, 3831, 214, 9137, 0.6440817865219173, 0.8676399437016061, 530.63, 71.78
LFR_1000000_1, 23_11-15-36, 7501, 294, 17108, 0.6390322181371634, 0.8771098833449088, 1216.91, 160.72
LFR_1000000_2, 23_11-37-39, 6487, 223, 20974, 0.5820045899764699, 0.829978476903687, 1082.92, 191.53
LFR_1000000_3, 23_12-03-45, 7106, 236, 19552, 0.5915143018948196, 0.8508235275226033, 1333.05, 180.45
LFR_1000000_4, 23_13-01-56, 8016, 325, 16545, 0.6506314061690414, 0.8840230756224959, 3251.73, 189.83
LFR_1000000_5, 23_13-27-48, 5728, 213, 26022, 0.5723137183937808, 0.7779699013802216, 1254.54, 231.36
