Graph, Time, # true communities, # communities found by modularity, # communities found by MapEquation, Modularity NMI, MapEquation NMI, Modularity time (s), MapEquation time (s)
LFR_250_1, 22_11-16-32, 8, 8, 13, 0.8183644389544867, 0.8357227992840447, 0.05, 0.01
LFR_250_2, 22_11-16-33, 5, 7, 10, 0.5746910072267517, 0.6693812944613542, 0.03, 0.01
LFR_1000_1, 22_11-16-35, 22, 20, 30, 0.8769583428015033, 0.8939900851587101, 0.25, 0.03
LFR_1000_2, 22_11-16-36, 11, 10, 38, 0.7447632694267871, 0.7057938345088667, 0.27, 0.03
LFR_5000_1, 22_11-16-44, 36, 33, 41, 0.9500477898475628, 0.9810250239827881, 1.04, 0.25
LFR_5000_2, 22_11-16-46, 41, 33, 41, 0.9632614804325187, 0.9869185850999779, 1.16, 0.22
LFR_10000_1, 22_11-17-28, 58, 44, 67, 0.9580814955097589, 0.9830455045142669, 3.35, 0.95
LFR_10000_2, 22_11-17-33, 80, 57, 85, 0.9635599291454626, 0.9914427118486027, 3.52, 0.52
LFR_25000_1, 22_11-19-11, 84, 59, 107, 0.9236527768852274, 0.9821001526823276, 11.73, 1.93
LFR_25000_2, 22_11-19-22, 96, 67, 116, 0.9565677403077699, 0.9854065204655373, 8.19, 1.72
LFR_50000_1, 22_11-24-11, 186, 107, 203, 0.9479005501556378, 0.989101351839475, 27.36, 4.33
LFR_50000_2, 22_11-24-34, 153, 93, 179, 0.958512693819555, 0.9885792957549596, 15.94, 4.33
LFR_100000_1, 22_11-37-42, 310, 159, 341, 0.9498884330317688, 0.9906158359416596, 71.03, 10.34
LFR_100000_2, 22_11-39-32, 101, 55, 1705, 0.8502275624169431, 0.7757552043357552, 90.66, 14.61
LFR_250000_1, 22_12-32-25, 474, 193, 593, 0.8948960103930278, 0.9897783831494285, 402.36, 31.8
LFR_250000_2, 22_12-53-09, 61, 39, 10588, 0.7164921243960547, 0.4318126659081582, 1188.04, 44.76
LFR_250000_3, 22_12-56-46, 387, 155, 570, 0.8671327643760868, 0.9860745231013263, 183.05, 24.55
LFR_250_3, 22_16-05-08, 7, 7, 14, 0.7214286778651356, 0.7066815756428334, 0.04, 0.0
LFR_250_4, 22_16-05-08, 8, 8, 13, 0.8308166764666834, 0.7713383513695842, 0.03, 0.01
LFR_1000_3, 22_16-05-11, 20, 20, 26, 0.9342503609080592, 0.9153056588078613, 0.14, 0.02
LFR_1000_4, 22_16-05-11, 19, 18, 30, 0.8455238916474153, 0.8905792831365349, 0.14, 0.03
LFR_500000_1, 22_17-44-24, 483, 180, 1305, 0.7987787411383295, 0.9739316073363333, 1174.54, 97.21
LFR_500000_3, 22_18-02-20, 747, 284, 905, 0.8971104110811084, 0.9910282693539418, 1001.33, 49.03
LFR_500000_4, 22_18-24-36, 643, 253, 1058, 0.8756069903300684, 0.98313757062415, 1254.8, 60.25
LFR_1000000_1, 23_07-39-29, 1265, 435, 1457, 0.8925799754490273, 0.9913939104196936, 3304.13, 112.2
LFR_1000000_3, 23_08-51-15, 804, 280, 2669, 0.8288304829578225, 0.9708436283612506, 4095.8, 164.92
LFR_1000000_4, 23_09-48-21, 1107, 371, 1399, 0.8658323535724525, 0.9895036192194143, 3265.04, 115.7
LFR_1000000_5, 23_10-51-52, 1327, 442, 1501, 0.8893266289408106, 0.9922079961551419, 3624.48, 140.91
LFR_250_5, 23_18-44-28, 8, 8, 12, 0.8406392915010261, 0.8407319873105759, 0.05, 0.01
LFR_1000_5, 23_18-44-33, 14, 12, 29, 0.7699753796669938, 0.8032931560864339, 0.13, 0.03
LFR_500000_2, 23_21-50-59, 740, 270, 1109, 0.8943348995213412, 0.9855430221711404, 781.42, 51.77
LFR_500000_5, 23_22-01-00, 464, 159, 1521, 0.8122037964140731, 0.9676126340574208, 487.81, 74.86
LFR_1000000_2, 23_23-55-37, 1210, 370, 1558, 0.8596796841881468, 0.9896269822620011, 3373.46, 115.98LFR_5000_3, 24_19-23-50, 50, 41, 51, 0.9663962205942379, 0.9898076821993278, 1.26, 0.27
LFR_10000_3, 24_19-24-15, 84, 62, 87, 0.9727203941358493, 0.9917767873621659, 2.19, 0.46
