CMDLINE C:\Users\Aeder\AppData\Local\Programs\Python\Python310\python.exe Run_test.py
MEM 1.578125 1654973667.6761
MEM 8.355469 1654973667.7901
MEM 15.894531 1654973667.9011
MEM 25.351562 1654973668.0131
MEM 34.664062 1654973668.1211
MEM 41.195312 1654973668.2331
MEM 45.554688 1654973668.3411
MEM 48.824219 1654973668.4531
MEM 50.859375 1654973668.5641
MEM 51.824219 1654973668.6741
MEM 54.996094 1654973668.7861
MEM 57.351562 1654973668.8971
MEM 64.597656 1654973669.0101
MEM 70.691406 1654973669.1201
MEM 77.714844 1654973669.2321
MEM 82.945312 1654973669.3391
MEM 91.757812 1654973669.4491
MEM 99.546875 1654973669.5581
MEM 104.765625 1654973669.6701
MEM 110.542969 1654973669.7821
MEM 118.269531 1654973669.8941
MEM 119.031250 1654973670.0041
MEM 119.511719 1654973670.1181
MEM 119.609375 1654973670.2301
MEM 119.609375 1654973670.3381
MEM 120.082031 1654973670.4461
MEM 122.234375 1654973670.5581
MEM 123.371094 1654973670.6691
MEM 124.386719 1654973670.7801
MEM 125.542969 1654973670.8901
MEM 126.515625 1654973671.0011
MEM 127.117188 1654973671.1131
MEM 128.691406 1654973671.2301
MEM 129.257812 1654973671.3331
MEM 130.265625 1654973671.4451
MEM 131.128906 1654973671.5561
MEM 131.453125 1654973671.6671
MEM 132.593750 1654973671.7771
MEM 133.335938 1654973671.8871
MEM 139.050781 1654973671.9991
MEM 144.742188 1654973672.1061
MEM 141.011719 1654973672.2181
MEM 148.636719 1654973672.3291
MEM 149.769531 1654973672.4391
MEM 137.945312 1654973672.5513
MEM 143.867188 1654973672.6614
MEM 136.449219 1654973672.7724
MEM 144.175781 1654973672.8844
MEM 144.179688 1654973672.9964
MEM 144.437500 1654973673.1075
MEM 144.562500 1654973673.2175
MEM 144.964844 1654973673.3272
MEM 145.382812 1654973673.4372
MEM 140.050781 1654973673.5482
MEM 147.062500 1654973673.6582
MEM 144.386719 1654973673.7692
MEM 150.558594 1654973673.8802
MEM 150.589844 1654973673.9922
MEM 148.460938 1654973674.1022
MEM 154.031250 1654973674.2112
MEM 154.039062 1654973674.3222
MEM 140.175781 1654973674.4312
MEM 145.941406 1654973674.5432
MEM 140.328125 1654973674.6542
MEM 145.082031 1654973674.7652
MEM 149.441406 1654973674.8762
MEM 141.683594 1654973674.9882
MEM 149.589844 1654973675.0992
MEM 150.437500 1654973675.2092
MEM 144.511719 1654973675.3172
MEM 151.433594 1654973675.4282
MEM 145.382812 1654973675.5382
MEM 149.867188 1654973675.6542
MEM 155.617188 1654973675.7602
MEM 157.167969 1654973675.8712
MEM 155.554688 1654973675.9822
MEM 161.207031 1654973676.0932
MEM 154.273438 1654973676.2032
MEM 151.839844 1654973676.3142
MEM 158.523438 1654973676.4222
MEM 155.210938 1654973676.5342
MEM 158.148438 1654973676.6462
MEM 156.566406 1654973676.7552
MEM 160.332031 1654973676.8672
MEM 155.859375 1654973676.9772
MEM 160.660156 1654973677.0882
MEM 154.812500 1654973677.1962
MEM 159.515625 1654973677.3082
MEM 161.386719 1654973677.4182
MEM 159.312500 1654973677.5292
MEM 159.359375 1654973677.6392
MEM 158.988281 1654973677.7492
MEM 155.832031 1654973677.8602
MEM 140.593750 1654973677.9702
MEM 143.093750 1654973678.0822
MEM 143.105469 1654973678.1932
