Graph, Time, # true communities, # communities found by modularity, # communities found by MapEquation, Modularity NMI, MapEquation NMI, Modularity time (s), MapEquation time (s)
LFR_250_1, 09_22-37-03, 44, 17, 37, 0.4979297936210769, 0.6407815193980478, 0.02, 0.02
LFR_1000_1, 09_22-37-03, 136, 40, 139, 0.48489473968755686, 0.6865539815608868, 0.18, 0.06
LFR_5000_1, 09_22-37-07, 631, 133, 603, 0.440778004266057, 0.7281855916489125, 3.95, 0.37
LFR_250_1, 09_22-44-26, 44, 16, 37, 0.532028550228797, 0.6407815193980478, 0.03, 0.01
LFR_1000_1, 09_22-44-26, 136, 38, 139, 0.46850355498177065, 0.6865539815608868, 0.19, 0.04
LFR_5000_1, 09_22-44-32, 631, 132, 603, 0.43766109179223917, 0.7281855916489125, 5.42, 0.17
LFR_250_1, 10_20-24-57, 44, 17, 37, 0.5118947123281351, 0.6407815193980478, 0.03, 0.0
LFR_250_2, 10_20-24-57, 44, 21, 42, 0.4981316500274423, 0.6628425743795443, 0.04, 0.01
LFR_250_3, 10_20-24-58, 46, 16, 37, 0.5127427977017295, 0.6699417197512512, 0.06, 0.01
LFR_250_4, 10_20-24-58, 56, 17, 40, 0.5032360899197641, 0.6681370367339932, 0.04, 0.0
LFR_250_5, 10_20-24-58, 45, 16, 39, 0.5076536623870684, 0.6489258447802527, 0.03, 0.0
LFR_1000_1, 10_20-25-03, 136, 38, 139, 0.45135304209992244, 0.6865539815608868, 0.24, 0.04
LFR_1000_2, 10_20-25-04, 143, 43, 151, 0.455951580132956, 0.6841369579163393, 0.71, 0.02
LFR_1000_3, 10_20-25-05, 103, 33, 142, 0.3662640749761091, 0.5948702964828765, 0.55, 0.03
LFR_1000_4, 10_20-25-05, 163, 48, 155, 0.48280126091844816, 0.709684049649241, 0.6, 0.03
LFR_1000_5, 10_20-25-06, 134, 41, 141, 0.4508464972746341, 0.6686131529198447, 0.24, 0.02
LFR_5000_1, 10_20-25-44, 631, 135, 603, 0.45504112686100684, 0.7281855916489125, 3.93, 0.17
LFR_5000_2, 10_20-25-51, 480, 85, 548, 0.375474938736403, 0.6742758175319192, 6.91, 0.16
LFR_5000_3, 10_20-25-56, 650, 130, 604, 0.4475295310113159, 0.7296338999825158, 4.86, 0.17
LFR_5000_4, 10_20-26-01, 539, 105, 557, 0.4074226123057368, 0.6914952692265728, 4.0, 0.18
LFR_5000_5, 10_20-26-06, 488, 117, 569, 0.39822410206820436, 0.6698616436556011, 4.97, 0.17
LFR_10000_1, 10_20-27-44, 1051, 181, 1065, 0.3953371114002204, 0.7078856974091534, 13.86, 0.36
LFR_10000_2, 10_20-27-54, 1256, 222, 1112, 0.44629968846469664, 0.7433679047503378, 9.23, 0.36
LFR_10000_3, 10_20-28-05, 1071, 184, 1055, 0.4209469181779056, 0.7151541636524414, 10.41, 0.36
LFR_10000_4, 10_20-28-20, 831, 151, 1008, 0.3448597493696642, 0.6601517976954195, 14.66, 0.47
LFR_10000_5, 10_20-28-34, 999, 183, 1056, 0.3837378041632162, 0.6967902362466937, 13.63, 0.26
LFR_25000_1, 10_20-33-54, 2790, 453, 2538, 0.42290720924020253, 0.7496493038029396, 38.89, 1.08
LFR_25000_2, 10_20-34-37, 2566, 429, 2508, 0.4038658039299587, 0.7392642008979329, 41.13, 1.44
LFR_25000_3, 10_20-35-24, 2673, 420, 2514, 0.41155961347924286, 0.7438050477105114, 44.96, 1.42
LFR_25000_4, 10_20-36-33, 2232, 405, 2490, 0.36996916956168013, 0.7061855279454544, 66.68, 1.65
LFR_25000_5, 10_20-37-17, 2909, 475, 2575, 0.4422762420917553, 0.7603574827586601, 41.54, 1.3
LFR_50000_1, 10_20-52-09, 5110, 791, 4821, 0.4059465098808919, 0.7563281121649119, 143.7, 4.18
LFR_50000_2, 10_20-54-13, 4650, 677, 4743, 0.39096717335284653, 0.742017147175021, 120.39, 2.34
LFR_50000_3, 10_20-55-40, 5280, 803, 4807, 0.417388030257571, 0.7634970698235369, 82.85, 3.45
LFR_50000_4, 10_20-57-30, 4836, 779, 4815, 0.3907161535787563, 0.7471480965023343, 105.82, 3.13
LFR_50000_5, 10_20-59-48, 4717, 749, 4830, 0.3765313005609407, 0.7447324710904191, 132.95, 3.69
LFR_100000_1, 10_21-38-46, 8607, 1226, 9123, 0.35465320113626153, 0.744449447292965, 420.85, 6.54
LFR_100000_2, 10_21-44-53, 8552, 1259, 9114, 0.3363945809507857, 0.7424084143157116, 357.65, 6.52
LFR_100000_3, 10_21-51-14, 9586, 1485, 9326, 0.37833092350456254, 0.7607625118832874, 372.62, 6.53
LFR_100000_4, 10_21-56-31, 8449, 1241, 9104, 0.3383364146797466, 0.7379214780324983, 308.82, 6.43
LFR_100000_5, 10_22-02-05, 9476, 1417, 9236, 0.39002345565493346, 0.7616702786002755, 324.5, 6.61
LFR_250000_1, 11_01-05-15, 21239, 2974, 21879, 0.34606300437083654, 0.7653860986933059, 1535.91, 19.19
LFR_250000_2, 11_01-30-33, 22931, 3281, 22169, 0.35357694334381023, 0.7762480089294445, 1488.97, 22.65
LFR_250000_3, 11_01-51-02, 24182, 3436, 22187, 0.3687489975195054, 0.7837332408053476, 1199.44, 22.93
LFR_250000_4, 11_02-18-52, 21675, 3144, 22061, 0.3479845719358172, 0.7692562918871382, 1638.32, 26.81
LFR_250000_5, 11_02-47-48, 18651, 2701, 21847, 0.3057725185352306, 0.741107042721281, 1707.28, 22.53
LFR_500000_1, 11_05-11-02, 40577, 5649, 42993, 0.31656890334815874, 0.7734607168885613, 3643.36, 42.72
LFR_1000000_1, 11_11-57-17, 80721, 11324, 85001, 0.33586947735588557, 0.7860620119793428, 10651.99, 118.95
