Graph, Time, # true communities, # communities found by modularity, # communities found by MapEquation, Modularity NMI, MapEquation NMI, Modularity time (s), MapEquation time (s)
LFR_250_1, 22_11-16-34,11,14,23, 0.8183882279207735, 0.8105655682020779, 0.03, 0.0
LFR_250_2, 22_11-16-34,9,9,10, 0.9921168518171204, 0.9961884350717425, 0.05, 0.01
LFR_1000_1, 22_11-16-38,17,19,51, 0.7900887313742184, 0.7979944128536508, 0.14, 0.02
LFR_1000_2, 22_11-16-38,10,11,13, 0.8339198537338719, 0.9627493682465308, 0.23, 0.04
LFR_5000_1, 22_11-16-58,87,54,167, 0.8650491942897824, 0.9375888764302419, 1.05, 0.16
LFR_5000_2, 22_11-16-59,64,44,65, 0.9656788965424667, 0.9970124753003796, 1.0, 0.2
LFR_10000_1, 22_11-17-59,95,55,218, 0.8265352733992591, 0.9034797851356453, 2.42, 0.47
LFR_10000_2, 22_11-18-03,84,50,86, 0.9662623397074027, 0.9960974947307403, 2.15, 0.63
LFR_25000_1, 22_11-20-47,140,110,693, 0.788722017056826, 0.8504992574587179, 7.93, 1.7
LFR_25000_2, 22_11-21-00,226,103,227, 0.9471689598615465, 0.9970566220351259, 10.86, 1.56
LFR_50000_1, 22_11-28-31,208,85,886, 0.7172715213270142, 0.81203660927899, 18.41, 5.46
LFR_50000_2, 22_11-28-59,227,84,660, 0.939243933397346, 0.8919813463830714, 20.32, 5.82
LFR_100000_1, 22_11-48-15,437,325,2374, 0.7956261611293716, 0.8629408903364125, 34.69, 9.5
LFR_100000_2, 22_11-49-45,664,173,672, 0.9347789281034513, 0.996630919630063, 78.24, 8.04
LFR_250000_1, 22_13-53-49,1403,273,1428, 0.9301381177680343, 0.9966014480609605, 214.61, 24.93
LFR_250000_2, 22_14-00-50,1042,213,1188, 0.9319948414201049, 0.9928361215108938, 370.2, 38.72
LFR_250000_3, 22_14-04-01,1821,336,1826, 0.9196848249961339, 0.9972428464706417, 154.2, 24.17
LFR_250_3, 22_16-05-09,7,7,8, 0.9653026031169339, 0.9769946465524836, 0.03, 0.01
LFR_250_4, 22_16-05-09,6,6,6, 0.9784946363865916, 0.9784946363865918, 0.03, 0.01
LFR_1000_3, 22_16-05-14,17,16,18, 0.9810176759011946, 0.983476157572584, 0.11, 0.03
LFR_1000_4, 22_16-05-14,10,10,12, 0.9890645282238342, 0.9786962259547907, 0.11, 0.03
LFR_500000_1, 22_21-35-20,2933,424,2948, 0.9189411141601631, 0.9974277795039685, 372.51, 38.67
LFR_500000_2, 22_21-44-52,2623,388,2645, 0.9231658636783755, 0.9966998204838996, 511.61, 40.35
LFR_500000_3, 22_22-03-23,1097,186,9330, 0.9257559660077762, 0.7745109557184018, 1030.62, 60.89
LFR_500000_4, 22_22-12-53,2367,352,3243, 0.9279108707871943, 0.9786607021283161, 492.32, 57.57
LFR_500000_5, 22_22-17-02,2967,431,2987, 0.9203190617971982, 0.9972617602572589, 190.52, 38.63
LFR_250_5, 23_18-44-30,2,8,12, 0.14115510633994885, 0.2436249290844032, 0.04, 0.01
LFR_1000_5, 23_18-44-37,18,18,28, 0.9555488347828929, 0.9298124082180703, 0.13, 0.03
LFR_1000000_1, 23_23-32-35,3424,397,9076, 0.910582304471303, 0.9319243420882874, 3509.59, 119.24
LFR_1000000_2, 24_00-07-40,5107,573,5133, 0.9143109066965984, 0.9972432685033231, 1960.9, 98.23
LFR_1000000_3, 24_00-26-42,4313,514,4389, 0.9234266067342581, 0.9965037384431217, 979.81, 114.65
LFR_1000000_4, 24_00-57-21,4202,488,5228, 0.9223042636640805, 0.985858278300129, 1680.39, 108.93
LFR_1000000_5, 24_01-36-01,4765,608,8522, 0.8751626145480293, 0.9626787140733497, 2170.36, 104.68
